[ 00:03:11.393 -->  00:03:13.215] S SPEAKER_04
[ 00:06:17.372 -->  00:06:23.852] BB SPEAKER_04
[ 00:06:24.004 -->  00:06:25.337] BC SPEAKER_04
[ 00:06:25.624 -->  00:06:31.227] BD SPEAKER_04
[ 00:06:31.429 -->  00:06:35.665] BE SPEAKER_04
[ 00:06:53.704 -->  00:07:05.112] BG SPEAKER_04
[ 00:07:05.314 -->  00:07:11.102] BH SPEAKER_04
[ 00:07:11.153 -->  00:07:11.862] BI SPEAKER_04
[ 00:07:12.284 -->  00:07:17.582] BJ SPEAKER_04
[ 00:07:18.004 -->  00:07:25.817] BL SPEAKER_04
[ 00:07:26.391 -->  00:07:31.032] BM SPEAKER_04
[ 00:07:31.589 -->  00:07:36.263] BN SPEAKER_04
[ 00:07:36.820 -->  00:07:37.934] BO SPEAKER_04
[ 00:07:38.254 -->  00:07:39.115] BP SPEAKER_04
[ 00:07:39.554 -->  00:07:44.515] BQ SPEAKER_04
[ 00:07:44.970 -->  00:07:56.260] BR SPEAKER_04
[ 00:07:56.564 -->  00:07:57.222] BS SPEAKER_04
[ 00:07:57.458 -->  00:08:03.364] BT SPEAKER_04
[ 00:08:03.837 -->  00:08:11.059] BU SPEAKER_04
[ 00:08:11.582 -->  00:08:14.367] BV SPEAKER_04
[ 00:08:58.782 -->  00:09:10.915] BX SPEAKER_04
[ 00:09:11.235 -->  00:09:17.530] BY SPEAKER_04
[ 00:09:17.631 -->  00:09:19.352] BZ SPEAKER_04
[ 00:09:19.707 -->  00:09:22.592] CA SPEAKER_04
[ 00:09:22.964 -->  00:09:23.723] CB SPEAKER_04
[ 00:09:23.757 -->  00:09:31.182] CC SPEAKER_04
[ 00:09:31.502 -->  00:09:34.962] CD SPEAKER_04
[ 00:09:35.232 -->  00:09:47.939] CE SPEAKER_04
[ 00:09:48.411 -->  00:09:50.031] CF SPEAKER_04
[ 00:09:50.335 -->  00:10:02.856] CG SPEAKER_04
[ 00:10:03.075 -->  00:10:07.058] CH SPEAKER_04
[ 00:10:07.665 -->  00:10:19.512] CI SPEAKER_04
[ 00:10:20.085 -->  00:10:22.279] CJ SPEAKER_04
[ 00:10:22.650 -->  00:10:28.034] CK SPEAKER_04
[ 00:10:28.219 -->  00:10:31.932] CL SPEAKER_04
[ 00:10:32.387 -->  00:10:45.685] CM SPEAKER_04
[ 00:10:46.107 -->  00:10:49.853] CN SPEAKER_04
[ 00:10:50.258 -->  00:10:51.675] CO SPEAKER_04
[ 00:10:51.979 -->  00:10:53.751] CP SPEAKER_04
[ 00:10:54.105 -->  00:10:54.848] CQ SPEAKER_04
[ 00:10:55.405 -->  00:11:05.817] CR SPEAKER_04
[ 00:11:06.542 -->  00:11:14.187] CS SPEAKER_04
[ 00:11:14.693 -->  00:11:15.925] CT SPEAKER_04
[ 00:11:16.532 -->  00:11:18.929] CU SPEAKER_04
[ 00:11:19.097 -->  00:11:25.105] CV SPEAKER_04
[ 00:11:25.577 -->  00:11:29.205] CW SPEAKER_04
[ 00:11:29.678 -->  00:11:46.637] CX SPEAKER_04
[ 00:11:46.975 -->  00:11:56.357] CY SPEAKER_04
[ 00:11:56.965 -->  00:11:58.517] CZ SPEAKER_04
[ 00:11:59.159 -->  00:12:02.567] DA SPEAKER_04
[ 00:12:03.023 -->  00:12:18.008] DB SPEAKER_04
[ 00:12:18.329 -->  00:12:23.459] DC SPEAKER_04
[ 00:12:23.999 -->  00:12:31.491] DD SPEAKER_04
[ 00:12:32.284 -->  00:12:34.056] DE SPEAKER_04
[ 00:12:34.512 -->  00:12:45.008] DF SPEAKER_04
[ 00:12:45.109 -->  00:12:48.113] DG SPEAKER_04
[ 00:12:48.434 -->  00:13:00.989] DH SPEAKER_04
[ 00:13:01.394 -->  00:13:04.380] DI SPEAKER_04
[ 00:13:04.819 -->  00:13:08.819] DJ SPEAKER_04
[ 00:13:09.190 -->  00:13:13.105] DK SPEAKER_04
[ 00:13:13.577 -->  00:13:17.357] DL SPEAKER_04
[ 00:13:17.678 -->  00:13:21.357] DM SPEAKER_04
[ 00:13:21.998 -->  00:13:39.599] DN SPEAKER_04
[ 00:13:40.071 -->  00:13:43.294] DO SPEAKER_04
[ 00:13:43.547 -->  00:13:49.386] DP SPEAKER_04
[ 00:13:49.892 -->  00:13:53.318] DQ SPEAKER_04
[ 00:13:53.622 -->  00:14:05.198] DR SPEAKER_04
[ 00:14:05.654 -->  00:14:13.720] DS SPEAKER_04
[ 00:14:14.125 -->  00:14:15.019] DT SPEAKER_04
[ 00:14:15.627 -->  00:14:23.710] DU SPEAKER_04
[ 00:14:24.300 -->  00:14:36.349] DV SPEAKER_04
[ 00:14:36.602 -->  00:14:40.247] DW SPEAKER_04
[ 00:14:40.669 -->  00:14:45.175] DX SPEAKER_04
[ 00:14:45.394 -->  00:14:50.440] DY SPEAKER_04
[ 00:14:50.912 -->  00:14:52.364] DZ SPEAKER_04
[ 00:14:52.397 -->  00:14:59.384] EA SPEAKER_04
[ 00:14:59.890 -->  00:15:09.357] EB SPEAKER_04
[ 00:15:09.407 -->  00:15:11.213] EC SPEAKER_04
[ 00:15:11.500 -->  00:15:29.961] ED SPEAKER_04
[ 00:15:30.113 -->  00:15:33.387] EE SPEAKER_04
[ 00:15:33.741 -->  00:15:57.855] EF SPEAKER_04
[ 00:15:57.940 -->  00:15:59.813] EG SPEAKER_04
[ 00:16:00.302 -->  00:16:04.217] EH SPEAKER_04
[ 00:16:04.673 -->  00:16:07.592] EI SPEAKER_04
[ 00:16:08.031 -->  00:16:16.418] EJ SPEAKER_04
[ 00:16:16.924 -->  00:16:21.261] EK SPEAKER_04
[ 00:16:21.767 -->  00:16:28.011] EL SPEAKER_04
[ 00:16:28.146 -->  00:16:32.787] EM SPEAKER_04
[ 00:16:33.225 -->  00:16:37.343] EN SPEAKER_04
[ 00:16:37.765 -->  00:16:43.654] EO SPEAKER_04
[ 00:16:43.992 -->  00:16:44.397] EP SPEAKER_04
[ 00:16:44.650 -->  00:16:45.544] EQ SPEAKER_04
[ 00:16:46.101 -->  00:16:49.965] ER SPEAKER_04
[ 00:16:50.759 -->  00:16:52.176] ES SPEAKER_04
[ 00:16:52.581 -->  00:16:56.175] ET SPEAKER_04
[ 00:16:56.850 -->  00:16:57.525] EU SPEAKER_04
[ 00:16:57.593 -->  00:17:01.052] EV SPEAKER_04
[ 00:17:24.087 -->  00:17:24.104] EX SPEAKER_04
[ 00:17:24.323 -->  00:17:34.009] EY SPEAKER_04
[ 00:17:34.229 -->  00:17:35.190] EZ SPEAKER_04
[ 00:17:35.410 -->  00:17:39.477] FA SPEAKER_04
[ 00:17:39.966 -->  00:17:46.362] FB SPEAKER_04
[ 00:17:46.800 -->  00:17:47.475] FC SPEAKER_04
[ 00:17:47.745 -->  00:17:49.635] FD SPEAKER_04
[ 00:17:50.142 -->  00:17:57.651] FE SPEAKER_04
[ 00:17:57.904 -->  00:18:01.195] FF SPEAKER_04
[ 00:18:01.735 -->  00:18:11.067] FG SPEAKER_04
[ 00:18:11.505 -->  00:18:28.752] FH SPEAKER_04
[ 00:18:29.140 -->  00:18:31.941] FI SPEAKER_04
[ 00:18:32.279 -->  00:18:43.889] FJ SPEAKER_04
[ 00:18:44.209 -->  00:18:52.208] FK SPEAKER_04
[ 00:18:52.815 -->  00:18:56.393] FL SPEAKER_04
[ 00:18:56.933 -->  00:19:01.067] FM SPEAKER_04
[ 00:19:01.422 -->  00:19:15.884] FN SPEAKER_04
[ 00:19:16.491 -->  00:19:24.068] FO SPEAKER_04
[ 00:19:24.473 -->  00:19:26.042] FP SPEAKER_04
[ 00:19:26.312 -->  00:19:30.565] FQ SPEAKER_04
[ 00:19:30.666 -->  00:19:33.299] FR SPEAKER_04
[ 00:19:33.839 -->  00:19:37.045] FS SPEAKER_04
[ 00:19:37.669 -->  00:19:38.192] FT SPEAKER_04
[ 00:19:38.648 -->  00:19:46.292] FU SPEAKER_04
[ 00:19:46.343 -->  00:19:54.342] FV SPEAKER_04
[ 00:19:46.849 -->  00:19:46.934] FW SPEAKER_03
[ 00:19:54.612 -->  00:19:57.244] FX SPEAKER_04
[ 00:19:57.649 -->  00:20:05.091] FY SPEAKER_04
[ 00:20:05.564 -->  00:20:08.939] FZ SPEAKER_04
[ 00:20:09.462 -->  00:20:14.035] GA SPEAKER_04
[ 00:20:14.187 -->  00:20:17.933] GB SPEAKER_04
[ 00:20:18.270 -->  00:20:23.839] GC SPEAKER_04
[ 00:20:24.345 -->  00:20:31.602] GD SPEAKER_04
[ 00:20:32.142 -->  00:20:32.547] GE SPEAKER_04
[ 00:20:32.749 -->  00:20:34.926] GF SPEAKER_04
[ 00:20:35.618 -->  00:20:38.166] GG SPEAKER_04
[ 00:20:38.588 -->  00:20:43.414] GH SPEAKER_04
[ 00:20:43.836 -->  00:20:49.945] GI SPEAKER_04
[ 00:20:50.080 -->  00:20:53.151] GJ SPEAKER_04
[ 00:20:53.860 -->  00:20:57.859] GK SPEAKER_04
[ 00:20:58.180 -->  00:21:11.005] GL SPEAKER_04
[ 00:21:11.562 -->  00:21:17.367] GM SPEAKER_04
[ 00:21:17.772 -->  00:21:22.109] GN SPEAKER_04
[ 00:21:22.665 -->  00:21:24.083] GO SPEAKER_04
[ 00:21:24.505 -->  00:21:26.445] GP SPEAKER_04
[ 00:21:26.682 -->  00:21:28.386] GQ SPEAKER_04
[ 00:21:28.909 -->  00:21:34.866] GR SPEAKER_04
[ 00:21:35.052 -->  00:21:36.773] GS SPEAKER_04
[ 00:21:37.380 -->  00:21:40.401] GT SPEAKER_04
[ 00:21:40.604 -->  00:21:42.443] GU SPEAKER_04
[ 00:21:43.067 -->  00:21:47.370] GV SPEAKER_04
[ 00:21:47.725 -->  00:21:51.404] GW SPEAKER_04
[ 00:21:51.842 -->  00:21:52.872] GX SPEAKER_04
[ 00:21:53.310 -->  00:21:57.884] GY SPEAKER_04
[ 00:21:58.272 -->  00:22:02.001] GZ SPEAKER_04
[ 00:22:02.524 -->  00:22:07.384] HA SPEAKER_04
[ 00:22:08.025 -->  00:22:11.940] HB SPEAKER_04
[ 00:22:12.396 -->  00:22:26.014] HC SPEAKER_04
[ 00:22:26.250 -->  00:22:28.748] HD SPEAKER_04
[ 00:22:29.136 -->  00:22:32.207] HE SPEAKER_04
[ 00:22:32.241 -->  00:22:36.274] HF SPEAKER_04
[ 00:22:36.359 -->  00:22:37.253] HG SPEAKER_04
[ 00:22:37.675 -->  00:22:41.539] HH SPEAKER_04
[ 00:22:42.012 -->  00:22:47.277] HI SPEAKER_04
[ 00:22:47.547 -->  00:22:55.680] HJ SPEAKER_04
[ 00:22:56.153 -->  00:22:59.190] HK SPEAKER_04
[ 00:22:59.832 -->  00:23:03.089] HL SPEAKER_04
[ 00:23:03.359 -->  00:23:06.075] HM SPEAKER_04
[ 00:23:26.967 -->  00:23:46.896] HO SPEAKER_04
[ 00:23:47.369 -->  00:23:50.727] HP SPEAKER_04
[ 00:23:50.946 -->  00:23:58.979] HQ SPEAKER_04
[ 00:23:59.637 -->  00:24:02.826] HR SPEAKER_04
[ 00:24:03.265 -->  00:24:04.530] HS SPEAKER_04
[ 00:24:04.851 -->  00:24:07.770] HT SPEAKER_04
[ 00:24:08.277 -->  00:24:09.863] HU SPEAKER_04
[ 00:24:10.200 -->  00:24:13.035] HV SPEAKER_04
[ 00:24:13.356 -->  00:24:14.014] HW SPEAKER_04
[ 00:24:14.554 -->  00:24:19.296] HX SPEAKER_04
[ 00:24:19.532 -->  00:24:23.076] HY SPEAKER_04
[ 00:24:23.667 -->  00:24:29.522] HZ SPEAKER_04
[ 00:24:29.978 -->  00:24:36.525] IA SPEAKER_04
[ 00:24:37.032 -->  00:24:42.027] IB SPEAKER_04
[ 00:24:42.347 -->  00:24:51.747] IC SPEAKER_04
[ 00:24:52.084 -->  00:25:00.100] ID SPEAKER_04
[ 00:25:00.252 -->  00:25:03.660] IE SPEAKER_04
[ 00:25:03.981 -->  00:25:07.795] IF SPEAKER_04
[ 00:25:08.166 -->  00:25:27.387] IG SPEAKER_04
[ 00:25:27.825 -->  00:25:32.044] IH SPEAKER_04
[ 00:25:32.179 -->  00:25:34.154] II SPEAKER_04
[ 00:25:34.677 -->  00:25:43.030] IJ SPEAKER_04
[ 00:25:43.587 -->  00:25:46.911] IK SPEAKER_04
[ 00:25:47.350 -->  00:25:49.172] IL SPEAKER_04
[ 00:25:49.341 -->  00:25:51.653] IM SPEAKER_04
[ 00:25:51.788 -->  00:25:54.893] IN SPEAKER_04
[ 00:25:55.197 -->  00:26:00.377] IO SPEAKER_04
[ 00:26:00.614 -->  00:26:05.271] IP SPEAKER_04
[ 00:26:05.339 -->  00:26:09.102] IQ SPEAKER_04
[ 00:26:09.507 -->  00:26:12.494] IR SPEAKER_04
[ 00:26:12.730 -->  00:26:17.168] IS SPEAKER_04
[ 00:26:17.539 -->  00:26:29.234] IT SPEAKER_04
[ 00:26:29.537 -->  00:26:38.954] IU SPEAKER_04
[ 00:26:39.359 -->  00:26:41.940] IV SPEAKER_04
[ 00:27:12.805 -->  00:27:20.719] IX SPEAKER_04
[ 00:27:20.939 -->  00:27:22.339] IY SPEAKER_04
[ 00:27:22.626 -->  00:27:29.528] IZ SPEAKER_04
[ 00:27:29.562 -->  00:27:33.156] JA SPEAKER_04
[ 00:27:33.696 -->  00:27:43.433] JB SPEAKER_04
[ 00:27:43.770 -->  00:27:54.604] JC SPEAKER_04
[ 00:27:54.655 -->  00:28:00.072] JD SPEAKER_04
[ 00:28:00.325 -->  00:28:10.652] JE SPEAKER_04
[ 00:28:11.108 -->  00:28:18.921] JF SPEAKER_04
[ 00:28:19.309 -->  00:28:21.874] JG SPEAKER_04
[ 00:28:22.195 -->  00:28:24.878] JH SPEAKER_04
[ 00:28:25.013 -->  00:28:28.354] JI SPEAKER_04
[ 00:28:28.810 -->  00:28:35.644] JJ SPEAKER_04
[ 00:28:36.015 -->  00:28:37.534] JK SPEAKER_04
[ 00:28:37.669 -->  00:28:46.259] JL SPEAKER_04
[ 00:28:46.444 -->  00:28:49.954] JM SPEAKER_04
[ 00:28:50.241 -->  00:28:54.578] JN SPEAKER_04
[ 00:28:55.000 -->  00:28:58.594] JO SPEAKER_04
[ 00:28:58.864 -->  00:29:03.015] JP SPEAKER_04
[ 00:29:03.539 -->  00:29:06.914] JQ SPEAKER_04
[ 00:29:07.234 -->  00:29:09.057] JR SPEAKER_04
[ 00:29:09.462 -->  00:29:17.562] JS SPEAKER_04
[ 00:29:17.815 -->  00:29:31.804] JT SPEAKER_04
[ 00:29:32.277 -->  00:29:41.845] JU SPEAKER_04
[ 00:29:42.267 -->  00:29:44.190] JV SPEAKER_04
[ 00:29:44.579 -->  00:29:48.426] JW SPEAKER_04
[ 00:29:48.679 -->  00:29:50.333] JX SPEAKER_04
[ 00:29:50.755 -->  00:29:59.952] JY SPEAKER_04
[ 00:30:00.289 -->  00:30:18.919] JZ SPEAKER_04
[ 00:30:19.341 -->  00:30:20.590] KA SPEAKER_04
[ 00:30:20.894 -->  00:30:23.745] KB SPEAKER_04
[ 00:30:24.134 -->  00:30:27.154] KC SPEAKER_04
[ 00:30:27.627 -->  00:30:32.571] KD SPEAKER_04
[ 00:30:32.858 -->  00:30:34.090] KE SPEAKER_04
[ 00:30:34.512 -->  00:30:36.857] KG SPEAKER_04
[ 00:30:37.566 -->  00:30:42.696] KI SPEAKER_04
[ 00:30:43.084 -->  00:30:45.582] KJ SPEAKER_04
[ 00:30:46.037 -->  00:30:58.845] KK SPEAKER_04
[ 00:30:59.217 -->  00:31:01.022] KL SPEAKER_04
[ 00:31:01.562 -->  00:31:05.410] KM SPEAKER_04
[ 00:31:05.747 -->  00:31:13.999] KN SPEAKER_04
[ 00:31:14.539 -->  00:31:15.957] KO SPEAKER_04
[ 00:31:16.598 -->  00:31:18.505] KP SPEAKER_04
[ 00:31:18.927 -->  00:31:20.935] KQ SPEAKER_04
[ 00:31:21.171 -->  00:31:22.690] KR SPEAKER_04
[ 00:31:22.977 -->  00:31:23.905] KS SPEAKER_04
[ 00:31:24.242 -->  00:31:28.461] KT SPEAKER_04
[ 00:31:28.630 -->  00:31:39.953] KU SPEAKER_04
[ 00:31:40.459 -->  00:31:44.880] KV SPEAKER_04
[ 00:31:45.555 -->  00:31:49.015] KW SPEAKER_04
[ 00:31:49.504 -->  00:32:00.321] KX SPEAKER_04
[ 00:32:01.013 -->  00:32:02.835] KY SPEAKER_04
[ 00:32:03.105 -->  00:32:09.417] KZ SPEAKER_04
[ 00:32:09.906 -->  00:32:16.386] LA SPEAKER_04
[ 00:32:16.859 -->  00:32:22.107] LB SPEAKER_04
[ 00:32:22.512 -->  00:32:24.773] LC SPEAKER_04
[ 00:32:25.313 -->  00:32:26.477] LD SPEAKER_04
[ 00:32:26.933 -->  00:32:28.570] LE SPEAKER_04
[ 00:32:28.840 -->  00:32:30.527] LF SPEAKER_04
[ 00:32:30.932 -->  00:32:35.894] LG SPEAKER_04
[ 00:32:36.282 -->  00:32:41.445] LH SPEAKER_04
[ 00:32:41.884 -->  00:32:44.179] LI SPEAKER_04
[ 00:32:44.483 -->  00:32:46.238] LJ SPEAKER_04
[ 00:32:46.930 -->  00:32:49.090] LK SPEAKER_04
[ 00:32:49.309 -->  00:32:51.182] LL SPEAKER_04
[ 00:32:51.790 -->  00:32:56.616] LM SPEAKER_04
[ 00:32:57.021 -->  00:33:10.150] LN SPEAKER_04
[ 00:33:10.589 -->  00:33:12.209] LO SPEAKER_04
[ 00:33:12.495 -->  00:33:13.575] LP SPEAKER_04
[ 00:33:14.082 -->  00:33:16.360] LQ SPEAKER_04
[ 00:33:16.934 -->  00:33:21.000] LR SPEAKER_04
[ 00:33:21.220 -->  00:33:22.739] LS SPEAKER_04
[ 00:33:57.366 -->  00:34:07.980] LU SPEAKER_04
[ 00:34:08.453 -->  00:34:09.449] LV SPEAKER_04
[ 00:34:09.719 -->  00:34:12.503] LW SPEAKER_04
[ 00:34:12.807 -->  00:34:15.135] LX SPEAKER_04
[ 00:34:15.321 -->  00:34:16.097] LY SPEAKER_04
[ 00:34:16.620 -->  00:34:22.223] LZ SPEAKER_04
[ 00:34:22.746 -->  00:34:31.572] MA SPEAKER_04
[ 00:34:32.010 -->  00:34:37.461] MB SPEAKER_04
[ 00:34:37.849 -->  00:34:40.684] MC SPEAKER_04
[ 00:34:40.937 -->  00:34:44.684] MD SPEAKER_04
[ 00:34:45.004 -->  00:34:49.864] ME SPEAKER_04
[ 00:34:50.202 -->  00:34:51.197] MF SPEAKER_04
[ 00:34:51.585 -->  00:34:54.066] MG SPEAKER_04
[ 00:34:54.792 -->  00:34:55.585] MH SPEAKER_04
[ 00:34:55.855 -->  00:34:59.010] MI SPEAKER_04
[ 00:34:59.145 -->  00:35:02.554] MJ SPEAKER_04
[ 00:35:03.246 -->  00:35:08.190] MK SPEAKER_04
[ 00:35:08.882 -->  00:35:14.907] ML SPEAKER_04
[ 00:35:15.109 -->  00:35:22.568] MM SPEAKER_04
[ 00:35:23.175 -->  00:35:25.285] MN SPEAKER_04
[ 00:35:25.791 -->  00:35:26.922] MO SPEAKER_04
[ 00:35:27.360 -->  00:35:30.752] MP SPEAKER_04
[ 00:35:31.140 -->  00:35:39.662] MQ SPEAKER_04
[ 00:35:40.185 -->  00:35:47.155] MR SPEAKER_04
[ 00:35:47.492 -->  00:35:52.335] MS SPEAKER_04
[ 00:35:52.403 -->  00:35:54.512] MT SPEAKER_04
[ 00:35:55.052 -->  00:35:59.558] MU SPEAKER_04
[ 00:36:00.284 -->  00:36:02.477] MV SPEAKER_04
[ 00:36:03.034 -->  00:36:09.497] MW SPEAKER_04
[ 00:36:09.869 -->  00:36:11.455] MX SPEAKER_04
[ 00:36:11.860 -->  00:36:16.214] MY SPEAKER_04
[ 00:36:16.585 -->  00:36:20.719] MZ SPEAKER_04
[ 00:36:21.040 -->  00:36:22.727] NA SPEAKER_04
[ 00:36:23.217 -->  00:36:28.364] NB SPEAKER_04
[ 00:36:29.089 -->  00:36:33.325] NC SPEAKER_04
[ 00:36:34.067 -->  00:36:38.742] ND SPEAKER_04
[ 00:36:38.910 -->  00:36:40.345] NE SPEAKER_04
[ 00:36:41.121 -->  00:36:49.761] NF SPEAKER_04
[ 00:36:50.419 -->  00:36:53.777] NG SPEAKER_04
[ 00:36:54.317 -->  00:37:01.337] NH SPEAKER_04
[ 00:37:01.810 -->  00:37:14.230] NI SPEAKER_04
[ 00:37:14.534 -->  00:37:18.314] NJ SPEAKER_04
[ 00:37:18.668 -->  00:37:22.465] NK SPEAKER_04
[ 00:37:22.870 -->  00:37:29.114] NL SPEAKER_04
[ 00:37:29.249 -->  00:37:32.944] NM SPEAKER_04
[ 00:37:33.535 -->  00:37:45.347] NN SPEAKER_04
[ 00:37:45.550 -->  00:37:54.679] NO SPEAKER_04
[ 00:38:10.778 -->  00:38:20.684] NQ SPEAKER_04
[ 00:38:21.460 -->  00:38:22.489] NR SPEAKER_04
[ 00:38:22.827 -->  00:38:32.429] NS SPEAKER_04
[ 00:38:32.834 -->  00:38:35.365] NT SPEAKER_04
[ 00:38:35.804 -->  00:38:41.119] NU SPEAKER_04
[ 00:38:41.609 -->  00:38:52.645] NV SPEAKER_04
[ 00:38:52.679 -->  00:38:56.931] NW SPEAKER_04
[ 00:38:57.252 -->  00:39:03.040] NX SPEAKER_04
[ 00:39:03.715 -->  00:39:07.630] NY SPEAKER_04
[ 00:39:07.866 -->  00:39:10.718] NZ SPEAKER_04
[ 00:39:11.241 -->  00:39:12.237] OA SPEAKER_04
[ 00:39:12.540 -->  00:39:15.645] OC SPEAKER_04
[ 00:39:16.304 -->  00:39:20.556] OD SPEAKER_04
[ 00:39:21.180 -->  00:39:25.889] OE SPEAKER_04
[ 00:39:26.125 -->  00:39:31.019] OF SPEAKER_04
[ 00:39:31.272 -->  00:39:34.529] OG SPEAKER_04
[ 00:39:35.035 -->  00:39:37.465] OH SPEAKER_04
[ 00:39:37.785 -->  00:39:42.662] OI SPEAKER_04
[ 00:39:42.882 -->  00:39:51.859] OJ SPEAKER_04
[ 00:39:52.264 -->  00:39:54.458] OK SPEAKER_04
[ 00:39:54.880 -->  00:40:01.444] OL SPEAKER_04
[ 00:40:01.714 -->  00:40:04.077] OM SPEAKER_04
[ 00:40:04.229 -->  00:40:11.907] ON SPEAKER_04
[ 00:40:12.092 -->  00:40:17.745] OO SPEAKER_04
[ 00:40:18.015 -->  00:40:19.905] OP SPEAKER_04
[ 00:40:20.378 -->  00:40:25.677] OQ SPEAKER_04
[ 00:40:26.183 -->  00:40:31.769] OR SPEAKER_04
[ 00:40:31.853 -->  00:40:36.173] OS SPEAKER_04
[ 00:40:36.544 -->  00:40:39.683] OT SPEAKER_04
[ 00:40:39.953 -->  00:40:53.217] OU SPEAKER_04
[ 00:40:53.655 -->  00:41:00.726] OV SPEAKER_04
[ 00:41:01.199 -->  00:41:13.298] OW SPEAKER_04
[ 00:41:41.732 -->  00:41:44.415] OY SPEAKER_04
[ 00:41:44.972 -->  00:41:51.840] OZ SPEAKER_04
[ 00:41:52.077 -->  00:41:57.089] PA SPEAKER_04
[ 00:41:57.578 -->  00:41:58.709] PB SPEAKER_04
[ 00:41:59.080 -->  00:42:07.585] PC SPEAKER_04
[ 00:42:07.905 -->  00:42:12.158] PD SPEAKER_04
[ 00:42:12.597 -->  00:42:17.271] PE SPEAKER_04
[ 00:42:17.879 -->  00:42:18.857] PF SPEAKER_04
[ 00:42:19.077 -->  00:42:22.097] PG SPEAKER_04
[ 00:42:22.401 -->  00:42:27.666] PH SPEAKER_04
[ 00:42:28.274 -->  00:42:34.635] PI SPEAKER_04
[ 00:42:34.652 -->  00:42:38.787] PJ SPEAKER_04
[ 00:42:39.158 -->  00:42:40.035] PK SPEAKER_04
[ 00:42:40.390 -->  00:42:46.937] PL SPEAKER_04
[ 00:42:47.309 -->  00:42:50.262] PM SPEAKER_04
[ 00:42:50.751 -->  00:42:51.409] PN SPEAKER_04
[ 00:42:51.831 -->  00:43:03.694] PO SPEAKER_04
[ 00:43:04.470 -->  00:43:05.854] PP SPEAKER_04
[ 00:43:06.327 -->  00:43:06.799] PQ SPEAKER_04
[ 00:43:07.424 -->  00:43:09.516] PR SPEAKER_04
[ 00:43:10.005 -->  00:43:10.731] PS SPEAKER_04
[ 00:43:11.305 -->  00:43:12.199] PT SPEAKER_04
[ 00:43:12.317 -->  00:43:28.619] PU SPEAKER_04
[ 00:43:28.956 -->  00:43:31.740] PZ SPEAKER_04
[ 00:43:32.010 -->  00:43:38.862] QA SPEAKER_04
[ 00:43:39.250 -->  00:43:41.224] QB SPEAKER_04
[ 00:43:41.714 -->  00:43:44.262] QC SPEAKER_04
[ 00:43:44.734 -->  00:43:55.332] QD SPEAKER_04
[ 00:43:55.956 -->  00:44:01.474] QE SPEAKER_04
[ 00:44:32.625 -->  00:44:37.199] QG SPEAKER_03
[ 00:44:37.654 -->  00:44:41.535] QH SPEAKER_03
[ 00:44:41.789 -->  00:44:44.033] QI SPEAKER_03
[ 00:44:44.539 -->  00:44:49.973] QJ SPEAKER_03
[ 00:44:50.310 -->  00:44:58.259] QK SPEAKER_03
[ 00:44:58.799 -->  00:45:00.672] QL SPEAKER_03
[ 00:45:01.110 -->  00:45:04.300] QM SPEAKER_03
[ 00:45:04.705 -->  00:45:05.076] QN SPEAKER_03
[ 00:45:05.515 -->  00:45:06.004] QO SPEAKER_03
